id_fundo,fundo,cnpj,ticker,data_informacao,total_cotistas,patrimonio_liquido,data_pregao,preco_fechamento,volume_negociado
1,FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,05437916000127,EURO11,2023-03-01,2489.0,124809622.16,2023-04-27,223.78,296.0
2,FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,03251720000118,FPAB11,2023-03-01,990.0,282799560.43,2023-04-27,133.0,132.0
3,FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,01633741000172,FMOF11,2023-03-01,284.0,60294445.05,2023-04-27,50.99,240.0
4,FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL DO BRASIL,14217108000145,FIIB11,2023-03-01,16934.0,315573944.93,2023-04-27,461.0,350.0
5,FUNDO DE INVESTIMENTO IMOBILIARIO POLO SHOPPING INDAIATUBA,14721889000100,VPSI11,2023-03-01,53.0,172976925.51,,,
6,NCH EQI HY FII,18085673000157,NCHB11B,2023-03-31,12213.0,151994750.79,,,
8,FUNDO DE INVESTIMENTO IMOBILIÁRIO SÃO FERNANDO,09350920000104,SFND11,2023-03-01,54.0,8955416.93,,,
9,FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,03683056000186,FFCI11,2023-03-01,29967.0,769574623.05,2023-04-19,182.03,0.0
11,TORRE NORTE FII,04722883000102,TRNT11B,2023-03-31,715.0,774177002.78,,,
13,CAMPUS FARIA LIM FII,11602654000101,FCFL11B,2023-03-31,3712.0,403657389.13,,,
14,FII TB OFFICE,17365105000147,TBOF11,2022-05-31,9180.0,2097587.74,2023-04-19,101.5,0.0
17,CENESP FII,13551286000145,CNES11B,2023-03-31,1804.0,263316910.93,,,
18,GALERIA FII,15333306000137,EDGA11,2023-03-31,5796.0,233527084.43,2023-04-27,18.77,3122.0
19,FII VBL FL 4440,13022993000144,FVBI11,2020-10-30,4030.0,75892500.0,2023-04-27,94.97,0.0
20,TORRE ALMIRANTE FII,07122725000100,ALMI11B,2023-03-31,2490.0,224901265.1,,,
21,ALMIRANTE BARROS FII,05562312000102,FAMB11B,2023-03-31,2715.0,311955201.16,2023-04-27,760.0,8.0
22,HOTEL MAXINVEST FII,08706065000169,HTMX11B,2023-03-31,25350.0,209131335.32,,,
23,FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING,01201140000190,ABCP11,2023-03-01,18769.0,431824676.47,2023-04-27,68.2,1931.0
26,FII CENTRO TEXTIL INTERNACIONAL,00762723000128,CTXT11,2023-03-01,3093.0,107074352.63,2023-04-27,10.74,145.0
27,FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,02027437000144,BMII11,2023-03-01,12.0,67877858.75,,,
28,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO NEGRO,15006286000190,RNGO11,2023-03-01,11649.0,231563271.73,2023-04-27,50.01,1521.0
29,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO,15576907000170,AGCX11,2023-03-01,45897.0,1252220789.13,,,
30,SDI RIO BRAVO RENDA LOGISTICA - FII,16671412000193,SDIL11,2023-03-01,64841.0,619902894.1,2023-04-27,93.99,9150.0
31,FUNDO DE INVESTIMENTO IMOBILIÁRIO RB RENDA EDUCACIONAL,13873457000152,AEFI11,2023-03-01,12744.0,339694947.2,,,
32,SANTANDER AGÊNCIAS FUNDO DE INVESTIMENTOS IMOBILIÁRIO - FII,16915840000114,SAAG11,2020-03-01,16251.0,627916463.29,2023-04-27,106.61,0.0
33,KINEA RENDA IMOBILIÁRIA FII,12005956000165,KNRI11,2023-03-01,246641.0,3864297066.26,2023-04-27,144.9,26645.0
34,KINEA RENDIMENTOS IMOBILIÁRIOS FII,16706958000132,KNCR11,2023-03-01,217585.0,5756022790.32,2023-04-27,96.63,87544.0
35,KINEA INDICES DE PREÇOS FII,24960430000113,KNIP11,2023-03-01,68200.0,7663395544.18,2023-04-27,91.17,42972.0
36,KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,14423780000197,KNRE11,2023-03-01,5923.0,13910742.85,2023-04-27,0.65,3227.0
37,HNS LOURDES FII,08014513000163,NSLU11B,2023-03-31,6572.0,257596725.95,,,
38,RIO BRAVO CRÉDITO IMOBILIÁRIO I FII,12659641000131,RBCB11,2020-02-01,460.0,40071.39,2023-04-19,19.0,0.0
39,RIO BRAVO CREDITO IMOBILIARIO II FI IMOBILIARIO,15769670000144,RBVO11,2023-03-01,2704.0,8960979.35,2023-04-27,7.9,300.0
40,SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO,09326861000139,WPLZ11B,2023-03-01,1806.0,89478595.79,,,
41,HOSPITAL CRIANCA FII,04066582000160,HCRI11B,2023-03-31,3100.0,61624707.7,,,
42,SPDP FII,07224019000160,SHDP11B,2023-03-31,3.0,1893003910.22,2023-04-27,1210.05,0.0
43,FII EDIFÍCIO CASTELO,10993386000133,FCAS11,2018-12-31,2.0,80684223.04,,,
44,BTGP LOGISTICA FII,11839593000109,TRXL11,2023-03-31,212356.0,2075125184.6,2023-04-27,103.38,0.0
45,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ELDORADO,13022994000199,ELDO11B,2023-03-01,60.0,1132515952.75,2023-04-14,1104.31,0.0
46,FUNDO DE INVESTIMENTO IMOBILIÁRIO GWI RENDA IMOBILIÁRIA,14733211000148,GWIR11,2021-02-01,209.0,91223530.5,,,
47,LATERES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,17209378000100,LATR11B,2023-03-01,132.0,1244713.0,2023-04-27,9.51,0.0
48,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,00332266000131,FVPQ11,2023-03-01,3962.0,537674165.97,2023-04-27,99.74,207.0
49,HEDGE FLORIPA SHOPPING FII,10375382000191,FLRP11B,2023-03-01,793.0,119371176.22,,,
50,FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,01497954000114,MIST11,2023-03-01,6.0,145264793.88,,,
51,PDPSC FII,10869155000112,PQDP11,2023-03-31,3967.0,766649103.56,2023-04-27,1708.16,42.0
52,RB GEN SHOPPING SULACAP FUNDO DE INVESTIMENTO IMOB. – FII,13652006000195,RBGS11,2021-11-01,2808.0,97865283.71,2023-04-19,28.45,0.0
53,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,10991914000115,CXCE11B,2023-03-01,3974.0,111628383.84,2023-04-27,40.06,1336.0
54,GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVEST IMOB,17590518000125,FIGS11,2023-03-01,15291.0,217510611.45,2023-04-27,48.58,4097.0
55,BRADESCO CARTEIRA IMOBILIARIA ATIVA FII,20216935000117,BCIA11,2023-03-31,14171.0,357768939.49,2023-04-27,85.04,1651.0
56,BANRISUL NOVAS FRONTEIRAS FII,15570431000160,BNFS11,2023-03-01,4053.0,64110281.93,2023-04-27,117.49,472.0
57,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,08696175000197,FIIP11B,2023-03-01,7941.0,172954872.36,2023-04-27,145.79,536.0
58,FII EDIFÍCIO OURINVEST,06175262000173,EDFO11B,2023-03-01,540.0,42629263.83,2023-04-27,197.0,8.0
59,BANESTES RECEBIVEIS IMOBILIARIOS FII,22219335000138,BCRI11,2023-03-01,46816.0,617910034.79,2023-04-27,69.69,13295.0
60,RIO BRAVO FUNDO - FII,17329029000114,FIXX11,2023-03-01,19702.0,229918432.37,,,
61,FATOR VERITA FII,11664201000100,VRTA11,2023-03-01,120325.0,1438101963.07,2023-04-27,83.0,35817.0
62,BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOB FII,20716161000193,BBIM11,2023-03-01,20.0,31715438.46,,,
63,NEWPORT RENDA URBANA FII,14793782000178,NEWU11,2023-03-01,1584.0,51068854.58,2023-04-27,70.89,22.0
64,SPA FUNDO DE INVESTIMENTO IMOBILIÁRIO,18311024000127,SPAF11,2023-03-01,1.0,11352674.76,,,
65,FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE,17025970000144,NVHO11,2023-03-01,2220.0,579646874.18,2023-04-27,12.54,253.0
66,CASTELLO BRANCO OFFICE PARK FUNDO DE INVEST IMOBILIÁRIO FII,17144039000185,CBOP11,2023-03-01,3538.0,104576322.61,2023-04-27,35.8,175.0
67,HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVEST IMOB,12809972000100,ATSA11B,2023-03-01,280.0,142848791.89,,,
68,VILA OLIMPIA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,15296696000112,VLOL11,2023-03-01,3144.0,187599532.5,2023-04-27,97.05,0.0
69,HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,08431747000106,HGBS11,2023-03-01,90096.0,2189632992.76,2023-04-27,197.05,6186.0
70,BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,14410722000129,BBPO11,2023-03-31,74353.0,1604635898.33,2023-04-27,86.54,13644.0
71,CIDADE JARDIM CONTINENTAL TOWER FII,10347985000180,CJCT11,2023-03-01,1189.0,205750284.32,2023-04-27,61.01,3.0
72,CSHG GR LOUVEIRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,17143998000186,GRLV11,2020-11-01,2604.0,6407890.29,2023-04-27,145.5,0.0
73,FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,08693497000182,VERE11,2023-03-31,54.0,205583304.88,2023-04-27,257.0,0.0
74,CSHG PRIME OFFICES FUNDO DE INVEST IMOBILIÁRIO FII,11260134000168,HGJH11,2023-03-01,10046.0,524636581.29,,,
75,RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II FII - FII,11945604000127,RBDS11,2023-03-31,937.0,2506063.53,2023-04-27,2.45,110.0
