id_fundo_imobiliario,cnpj,fundo,ticker,visivel,data_informacao,total_cotistas,valor_patrimonio_liquido,dividend_yield_mes,rent_efetiva_mensal,ano_mes_x,data_ultimo_preco,preco_fechamento,volume_negociado,ano_mes_y
115,97521225000125,FII MAXI RENDA,MXRF11,True,2023-03-31,808458.0,2276171292.76,0.011179,0.01082,2023-03-01,2023-04-27,10.47,771598.0,2023-04-01
76,11728688000147,CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,HGLG11,True,2023-03-01,340959.0,3577143616.9,0.007178,0.002254,2023-03-01,2023-04-27,162.46,32538.0,2023-04-01
143,28757546000100,XP MALLS FII,XPML11,True,2023-03-31,308245.0,2101487966.93,0.006812,0.001352,2023-03-01,2023-04-27,103.73,111941.0,2023-04-01
151,26502794000185,FII XP LOG,XPLG11,True,2023-03-31,306888.0,3073760013.96,0.00651198,0.00459174,2023-03-01,2023-04-27,100.3,39712.0,2023-04-01
108,11026627000138,FUNDO DE FUNDOS FII,BCFF11,True,2023-03-31,304974.0,1811005977.9,0.007621,-0.013865,2023-03-01,2023-04-27,66.86,33126.0,2023-04-01
144,28830325000110,IRIDIUM REC IMOB FII,IRDM11,True,2023-03-31,281160.0,3261837028.68,0.009901,-0.017298,2023-03-01,2023-04-27,77.17,76040.0,2023-04-01
33,12005956000165,KINEA RENDA IMOBILIÁRIA FII,KNRI11,True,2023-03-01,246641.0,3864297066.26,0.005937,0.00566,2023-03-01,2023-04-27,144.9,26645.0,2023-04-01
309,36771692000119,VALORA HEDGE,VGHF11,True,2023-03-31,244537.0,666911754.82,0.011,0.01562551,2023-03-01,2023-04-27,8.85,219379.0,2023-04-01
131,17554274000125,VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,VISC11,True,2023-03-01,240425.0,2303031088.29,0.0066,0.003719,2023-03-01,2023-04-27,107.1,38795.0,2023-04-01
34,16706958000132,KINEA RENDIMENTOS IMOBILIÁRIOS FII,KNCR11,True,2023-03-01,217585.0,5756022790.32,0.012108,0.012628,2023-03-01,2023-04-27,96.63,87544.0,2023-04-01
78,18979895000113,CAPITANIA SEC II FII,CPTS11,True,2023-03-31,214019.0,2809831615.79,0.007961,0.015751,2023-03-01,2023-04-27,74.93,85212.0,2023-04-01
44,11839593000109,BTGP LOGISTICA FII,BTLG11,True,2023-03-31,212356.0,2075125184.6,0.007938,0.005143,2023-03-01,2023-04-27,94.91,39004.0,2023-04-01
191,30248180000196,FII HECTARE CE,HCTR11,True,2023-03-31,208225.0,2620721292.22,0.00587175,0.00129699,2023-03-01,2023-04-27,47.8,149939.0,2023-04-01
149,29641226000153,CSHG RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,HGRU11,True,2023-03-01,196152.0,2275112647.43,0.006886,0.008219,2023-03-01,2023-04-27,121.94,27454.0,2023-04-01
132,28152272000126,FII REC RECEBÍVEIS IMOBILIÁRIOS,RECR11,True,2023-03-01,183264.0,2514926804.0,0.013178,0.010869,2023-03-01,2023-04-27,79.95,40815.0,2023-04-01
