ticker,ano_mes,fechamento_mensal,volume_mensal
CARE11,2016-04-01,1.6,4303500
CARE11,2016-05-01,1.64,46787010
CARE11,2016-06-01,1.55,189126010
CARE11,2016-07-01,1.62,29221120
CARE11,2016-08-01,1.6,49410610
CARE11,2016-09-01,1.59,17863030
CARE11,2016-10-01,1.63,17409560
CARE11,2016-11-01,1.57,5598900
CARE11,2016-12-01,1.6,5071210
CARE11,2017-01-01,1.6,14623550
CARE11,2017-02-01,1.62,30790050
CARE11,2017-03-01,1.65,206904040
CARE11,2017-04-01,1.65,15606210
CARE11,2017-05-01,1.6,48130
CARE11,2017-06-01,1.77,64961000
CARE11,2017-07-01,1.85,47567870
CARE11,2017-08-01,1.8,2326240
CARE11,2017-09-01,1.8,3051070
CARE11,2017-10-01,1.98,156437390
CARE11,2017-11-01,2.0,1688330
CARE11,2017-12-01,2.2,15301650
CARE11,2018-01-01,2.25,15746890
CARE11,2018-02-01,2.05,14404860
CARE11,2018-03-01,2.35,7223650
CARE11,2018-04-01,2.23,6510160
CARE11,2018-05-01,1.95,7777740
CARE11,2018-06-01,2.45,16501610
CARE11,2018-07-01,2.0,7295450
CARE11,2018-08-01,1.89,7331380
CARE11,2018-09-01,1.89,11772430
CARE11,2018-10-01,1.89,11894170
CARE11,2018-11-01,1.84,3899990
CARE11,2018-12-01,1.72,24988410
CARE11,2019-01-01,1.75,10260090
CARE11,2019-02-01,1.7,6758730
CARE11,2019-03-01,1.48,7301030
CARE11,2019-04-01,1.54,13729280
CARE11,2019-05-01,1.49,18869960
CARE11,2019-06-01,1.79,60166100
CARE11,2019-07-01,1.58,22241480
CARE11,2019-08-01,1.56,38731610
CARE11,2019-09-01,1.53,78461730
CARE11,2019-10-01,1.34,67069010
CARE11,2019-11-01,1.05,64481000
CARE11,2019-12-01,1.29,174336490
CARE11,2020-01-01,1.15,27093650
CARE11,2020-02-01,1.19,6291180
CARE11,2020-03-01,1.07,19746950
CARE11,2020-04-01,0.83,9635300
CARE11,2020-05-01,0.69,32432940
CARE11,2020-06-01,0.71,21381640
CARE11,2020-07-01,0.95,57825900
CARE11,2020-08-01,0.9,23424950
CARE11,2020-09-01,0.78,49214660
CARE11,2020-10-01,0.79,13032250
CARE11,2020-11-01,0.79,23265610
CARE11,2020-12-01,0.7,22415710
CARE11,2021-01-01,0.69,27108770
CARE11,2021-02-01,0.66,14775950
CARE11,2021-03-01,0.54,14924250
CARE11,2021-04-01,0.75,94600170
CARE11,2021-05-01,0.79,159469130
CARE11,2021-06-01,0.8,109974230
CARE11,2021-07-01,0.78,79787130
CARE11,2021-08-01,0.73,59690170
CARE11,2021-09-01,0.64,43130780
CARE11,2021-10-01,0.51,48886390
CARE11,2021-11-01,1.75,67364550
CARE11,2021-12-01,2.77,12419780
CARE11,2022-01-01,2.08,5488100
CARE11,2022-02-01,2.67,10767500
CARE11,2022-03-01,3.87,26552000
CARE11,2022-04-01,3.81,63716730
CARE11,2022-05-01,4.61,109688460
CARE11,2022-06-01,4.16,3462600
CARE11,2022-07-01,4.62,2583130
CARE11,2022-08-01,4.12,2797170
CARE11,2022-09-01,3.99,2866710
CARE11,2022-10-01,3.79,2271400
CARE11,2022-11-01,3.22,1687284
CARE11,2022-12-01,2.82,1746327
CARE11,2023-01-01,2.54,1876281
CARE11,2023-02-01,2.23,928906
CARE11,2023-03-01,2.25,188995
CARE11,2023-04-01,1.9,268324
KNCR11,2015-11-01,114.99,1771080
KNCR11,2015-12-01,108.85,2306270
KNCR11,2016-01-01,105.37,1718120
KNCR11,2016-02-01,106.52,1681990
KNCR11,2016-03-01,111.0,2032720
KNCR11,2016-04-01,112.47,2677640
KNCR11,2016-05-01,113.4,4647550
KNCR11,2016-06-01,109.0,4183980
KNCR11,2016-07-01,108.4,5176960
KNCR11,2016-08-01,113.5,8434940
KNCR11,2016-09-01,113.5,5952930
KNCR11,2016-10-01,116.9,4770140
KNCR11,2016-11-01,117.48,4722340
KNCR11,2016-12-01,113.5,4543610
KNCR11,2017-01-01,109.0,6048300
KNCR11,2017-02-01,112.75,4787480
KNCR11,2017-03-01,107.25,4493020
KNCR11,2017-04-01,107.81,3485270
KNCR11,2017-05-01,106.5,5901140
KNCR11,2017-06-01,107.4,5430550
KNCR11,2017-07-01,105.67,8259630
KNCR11,2017-08-01,104.07,5873870
KNCR11,2017-09-01,104.63,5818700
KNCR11,2017-10-01,101.5,7094130
KNCR11,2017-11-01,102.02,7141470
KNCR11,2017-12-01,102.96,6390660
KNCR11,2018-01-01,107.0,7206240
KNCR11,2018-02-01,105.63,5404350
KNCR11,2018-03-01,105.66,9004570
KNCR11,2018-04-01,104.86,7348970
KNCR11,2018-05-01,106.01,8668140
KNCR11,2018-06-01,107.0,7795280
KNCR11,2018-07-01,106.09,7724920
KNCR11,2018-08-01,106.8,6665970
KNCR11,2018-09-01,105.93,4935820
KNCR11,2018-10-01,106.14,5607310
KNCR11,2018-11-01,106.36,4006910
KNCR11,2018-12-01,105.98,4747660
KNCR11,2019-01-01,105.7,6507690
KNCR11,2019-02-01,104.81,7139880
KNCR11,2019-03-01,105.08,7318930
KNCR11,2019-04-01,104.7,6813060
KNCR11,2019-05-01,104.9,8773200
KNCR11,2019-06-01,105.15,9039490
KNCR11,2019-07-01,104.12,11794650
KNCR11,2019-08-01,105.88,12619540
KNCR11,2019-09-01,104.88,8802130
KNCR11,2019-10-01,104.44,15963230
KNCR11,2019-11-01,104.09,13071190
KNCR11,2019-12-01,105.75,19237500
KNCR11,2020-01-01,104.63,15804160
KNCR11,2020-02-01,103.8,14629770
KNCR11,2020-03-01,89.97,18329220
KNCR11,2020-04-01,95.55,8241320
KNCR11,2020-05-01,92.7,7672890
KNCR11,2020-06-01,92.4,9202910
KNCR11,2020-07-01,88.03,11069990
KNCR11,2020-08-01,89.27,7764080
KNCR11,2020-09-01,90.25,9216590
KNCR11,2020-10-01,91.95,9134270
KNCR11,2020-11-01,88.7,8926480
KNCR11,2020-12-01,87.05,13485490
KNCR11,2021-01-01,88.82,8329320
KNCR11,2021-02-01,89.41,9240110
KNCR11,2021-03-01,93.52,12731210
KNCR11,2021-04-01,94.44,8909570
KNCR11,2021-05-01,91.02,10012840
KNCR11,2021-06-01,90.15,13773560
KNCR11,2021-07-01,93.16,10826540
KNCR11,2021-08-01,94.2,19093820
KNCR11,2021-09-01,97.26,31097710
KNCR11,2021-10-01,96.35,20111970
KNCR11,2021-11-01,98.73,30569330
KNCR11,2021-12-01,101.95,20670570
KNCR11,2022-01-01,101.83,13727920
KNCR11,2022-02-01,99.99,13619740
KNCR11,2022-03-01,101.65,17342280
KNCR11,2022-04-01,101.99,15762410
KNCR11,2022-05-01,102.5,14151720
KNCR11,2022-06-01,101.9,14751230
KNCR11,2022-07-01,102.46,14943960
KNCR11,2022-08-01,103.29,23813030
KNCR11,2022-09-01,102.39,24176260
KNCR11,2022-10-01,101.45,20198050
KNCR11,2022-11-01,100.2,25689476
KNCR11,2022-12-01,98.69,28436606
KNCR11,2023-01-01,99.15,29005933
KNCR11,2023-02-01,99.38,12082532
KNCR11,2023-03-01,98.2,2187499
KNCR11,2023-04-01,96.63,1733073
MXRF11,2015-11-01,87.18,387560
MXRF11,2015-12-01,84.5,805230
MXRF11,2016-01-01,78.69,438530
MXRF11,2016-02-01,80.0,488300
MXRF11,2016-03-01,83.35,675880
MXRF11,2016-04-01,84.5,624890
MXRF11,2016-05-01,88.5,679890
MXRF11,2016-06-01,88.4,482030
MXRF11,2016-07-01,92.9,785410
MXRF11,2016-08-01,91.3,589640
MXRF11,2016-09-01,90.3,614750
MXRF11,2016-10-01,89.21,689400
MXRF11,2016-11-01,87.5,531680
MXRF11,2016-12-01,89.11,492980
MXRF11,2017-01-01,92.3,813970
MXRF11,2017-02-01,94.5,695320
MXRF11,2017-03-01,96.0,602590
MXRF11,2017-04-01,97.4,601040
MXRF11,2017-05-01,9.74,5802990
MXRF11,2017-06-01,9.98,13638520
MXRF11,2017-07-01,9.45,14847420
MXRF11,2017-08-01,9.38,13411000
MXRF11,2017-09-01,9.59,11037490
MXRF11,2017-10-01,9.62,10807970
MXRF11,2017-11-01,9.78,8916450
MXRF11,2017-12-01,9.51,9928680
MXRF11,2018-01-01,9.59,11993780
MXRF11,2018-02-01,9.58,8655230
MXRF11,2018-03-01,10.38,15755880
MXRF11,2018-04-01,10.88,11374610
MXRF11,2018-05-01,9.7,13091090
MXRF11,2018-06-01,9.7,10568300
MXRF11,2018-07-01,10.07,16585680
MXRF11,2018-08-01,10.17,18648750
MXRF11,2018-09-01,9.8,19596030
MXRF11,2018-10-01,10.11,18227800
MXRF11,2018-11-01,10.18,11330000
MXRF11,2018-12-01,10.24,11695260
MXRF11,2019-01-01,11.25,25899550
MXRF11,2019-02-01,11.12,14149160
MXRF11,2019-03-01,11.61,12525920
MXRF11,2019-04-01,11.3,18194310
MXRF11,2019-05-01,11.68,11368830
MXRF11,2019-06-01,11.41,18019370
MXRF11,2019-07-01,11.97,21002570
MXRF11,2019-08-01,10.9,34325850
MXRF11,2019-09-01,11.26,25192310
MXRF11,2019-10-01,11.2,36626120
MXRF11,2019-11-01,11.47,51956940
MXRF11,2019-12-01,14.12,56586450
MXRF11,2020-01-01,11.68,142972690
MXRF11,2020-02-01,11.2,90041470
MXRF11,2020-03-01,10.16,109566000
MXRF11,2020-04-01,10.13,84405870
MXRF11,2020-05-01,10.83,78736330
MXRF11,2020-06-01,10.99,136962530
MXRF11,2020-07-01,10.95,123933380
MXRF11,2020-08-01,10.67,151728740
MXRF11,2020-09-01,10.91,125743000
MXRF11,2020-10-01,10.41,231552140
MXRF11,2020-11-01,10.58,126919290
MXRF11,2020-12-01,10.49,149051940
MXRF11,2021-01-01,10.62,112802500
MXRF11,2021-02-01,10.8,138449870
MXRF11,2021-03-01,10.4,209279620
MXRF11,2021-04-01,10.66,130405670
MXRF11,2021-05-01,10.57,170769410
MXRF11,2021-06-01,10.16,233279050
MXRF11,2021-07-01,10.23,126372050
MXRF11,2021-08-01,9.98,143241500
MXRF11,2021-09-01,10.13,115161180
MXRF11,2021-10-01,10.04,104564170
MXRF11,2021-11-01,9.98,114391640
MXRF11,2021-12-01,10.01,121348560
MXRF11,2022-01-01,9.33,222589480
MXRF11,2022-02-01,9.22,120708280
MXRF11,2022-03-01,9.32,119354430
MXRF11,2022-04-01,9.98,151545880
MXRF11,2022-05-01,9.93,155264030
MXRF11,2022-06-01,9.67,127571060
MXRF11,2022-07-01,9.83,124770120
MXRF11,2022-08-01,10.3,171370280
MXRF11,2022-09-01,10.3,156355170
MXRF11,2022-10-01,10.3,109472880
MXRF11,2022-11-01,10.19,136965339
MXRF11,2022-12-01,10.09,122250205
MXRF11,2023-01-01,10.15,148791005
MXRF11,2023-02-01,10.23,71352510
