ano_mes,tickers_negociados,volume_total,preco_medio_fechamento
2004-09-01,1,1070,1.745
2004-10-01,1,26730,1.0584
2004-11-01,1,565500,0.9184615384615384
2004-12-01,1,235080,0.922962962962963
2005-01-01,1,110000,0.9299999999999999
2005-02-01,1,321230,0.8954166666666667
2005-03-01,1,220170,0.7946153846153846
2005-04-01,1,40140,0.75875
2005-05-01,1,39600,0.6823076923076923
2005-06-01,1,292000,0.5446153846153846
2005-07-01,1,340000,0.5008695652173912
2005-08-01,1,531000,0.47230769230769226
2005-09-01,1,420000,0.4869230769230769
2005-10-01,1,560000,0.48583333333333334
2005-11-01,1,869690,0.51
2005-12-01,1,1000000,0.5691666666666667
2006-01-01,1,908540,0.6003846153846154
2006-02-01,2,170020,1.082142857142857
2006-03-01,2,835230,2.140625
2006-04-01,2,1491750,2.141860465116279
2006-05-01,2,80508810,2.2732075471698114
2006-06-01,2,1472690,2.351923076923077
2006-07-01,2,294180,2.4348076923076922
2006-08-01,2,3019920,2.4711764705882353
2006-09-01,2,3093340,2.3824489795918367
2006-10-01,2,363180,2.2921276595744677
2006-11-01,2,191650,2.2335416666666665
2006-12-01,2,893960,2.1195238095238094
2007-01-01,2,984340,2.2305
2007-02-01,2,3690230,2.5214999999999996
2007-03-01,2,2225240,2.6027272727272726
2007-04-01,2,887090,2.696046511627907
2007-05-01,2,1936200,2.7404347826086957
2007-06-01,2,4173510,2.750952380952381
2007-07-01,2,1757430,5.2272727272727275
2007-08-01,2,2509590,5.342173913043478
2007-09-01,2,936850,5.15475
2007-10-01,2,4619490,5.181739130434783
2007-11-01,2,2449400,5.371590909090909
2007-12-01,2,3389470,4.751190476190477
2008-01-01,2,1685270,3.902553191489362
2008-02-01,2,874720,3.731904761904762
2008-03-01,2,1798710,4.506904761904762
2008-04-01,2,1851870,4.384772727272727
2008-05-01,2,1641270,4.256363636363637
2008-06-01,2,3489120,3.7479545454545455
2008-07-01,2,4075470,3.9966666666666666
2008-08-01,2,3249030,3.9404761904761907
2008-09-01,2,510620,4.265681818181818
2008-10-01,2,454460,3.528541666666667
2008-11-01,2,348100,3.981707317073171
2008-12-01,2,989210,3.595
2009-01-01,2,2008130,3.496590909090909
2009-02-01,2,1904210,3.4895238095238095
2009-03-01,2,1337620,3.3252272727272727
2009-04-01,2,1823880,3.393409090909091
2009-05-01,2,14881040,3.4829545454545454
2009-06-01,2,8088800,3.464
2009-07-01,2,11750580,3.9958695652173915
2009-08-01,2,4844680,4.156190476190476
2009-09-01,2,2271580,4.716818181818183
2009-10-01,2,1151480,4.887954545454545
2009-11-01,2,881970,5.023095238095238
2009-12-01,2,930800,4.95
2010-01-01,2,2227040,5.363095238095238
2010-02-01,2,1422770,5.4377272727272725
2010-03-01,2,3467690,5.288260869565217
2010-04-01,2,1132160,4.870454545454546
2010-05-01,2,909130,5.102380952380952
2010-06-01,2,722330,4.772954545454545
2010-07-01,2,1737120,4.794545454545455
2010-08-01,2,3353840,4.732045454545455
2010-09-01,2,2733440,4.7975
2010-10-01,2,2997730,4.691904761904762
2010-11-01,2,2844960,4.835
2010-12-01,2,1255760,4.845217391304348
2011-01-01,4,1439550,1045.0584848484848
2011-02-01,4,2267590,1429.6095061728395
2011-03-01,4,1223960,1452.9097826086959
2011-04-01,4,1453430,1501.7691666666667
2011-05-01,4,1527150,1504.2581818181818
2011-06-01,4,1267060,1533.7217045454547
2011-07-01,4,2819510,1566.7072595238094
2011-08-01,4,2044780,1533.156739130435
2011-09-01,4,1878300,1605.3771590909091
2011-10-01,4,2055300,1755.5390476190476
2011-11-01,4,2201170,1876.169431818182
