ticker,fundo,data_informacao,total_cotistas,valor_patrimonio_liquido,dividend_yield_mes,preco_fechamento,volume_negociado
MXRF11,FII MAXI RENDA,2023-03-31,808458.0,2276171292.76,0.011179,10.47,771598.0
HGLG11,CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2023-03-01,340959.0,3577143616.9,0.007178,162.46,32538.0
XPML11,XP MALLS FII,2023-03-31,308245.0,2101487966.93,0.006812,103.73,111941.0
XPLG11,FII XP LOG,2023-03-31,306888.0,3073760013.96,0.00651198,100.3,39712.0
BCFF11,FUNDO DE FUNDOS FII,2023-03-31,304974.0,1811005977.9,0.007621,66.86,33126.0
IRDM11,IRIDIUM REC IMOB FII,2023-03-31,281160.0,3261837028.68,0.009901,77.17,76040.0
KNRI11,KINEA RENDA IMOBILIÁRIA FII,2023-03-01,246641.0,3864297066.26,0.005937,144.9,26645.0
VGHF11,VALORA HEDGE,2023-03-31,244537.0,666911754.82,0.011,8.85,219379.0
VISC11,VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,2023-03-01,240425.0,2303031088.29,0.0066,107.1,38795.0
KNCR11,KINEA RENDIMENTOS IMOBILIÁRIOS FII,2023-03-01,217585.0,5756022790.32,0.012108,96.63,87544.0
CPTS11,CAPITANIA SEC II FII,2023-03-31,214019.0,2809831615.79,0.007961,74.93,85212.0
BTLG11,BTGP LOGISTICA FII,2023-03-31,212356.0,2075125184.6,0.007938,94.91,39004.0
HCTR11,FII HECTARE CE,2023-03-31,208225.0,2620721292.22,0.00587175,47.8,149939.0
HGRU11,CSHG RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,2023-03-01,196152.0,2275112647.43,0.006886,121.94,27454.0
RECR11,FII REC RECEBÍVEIS IMOBILIÁRIOS,2023-03-01,183264.0,2514926804.0,0.013178,79.95,40815.0
